一	いち	/(num) one/(P)/	ichi
消える	きえる	/(v1) to go out/to vanish/to disappear/(P)/	kieru
消す	けす	/(v5s) to erase/to delete/to turn off power/(P)/	kesu
涼しい	すずしい	/(adj) cool/refreshing/(P)/	suzushii
渡す	わたす	/(v5s) to pass over/to hand over/(P)/	watasu
渡る	わたる	/(v5r) to cross over/to go across/(P)/	wataru
漢字	かんじ	/(n) Chinese characters/kanji/(P)/	kanji
火曜日	かようび	/(n-adv,n) Tuesday/(P)/	kayoubi
灰皿	はいざら	/(n) ashtray/(P)/	haizara
熱い	あつい	/(adj) hot (thing)/(P)/	atsui
父	ちち	/(n) (hum) father/(P)/	chichi
片仮名	かたかな	/(n) katakana/(P)/	katakana
牛肉	ぎゅうにく	/(n) beef/(P)/	gyuuniku
物	もの	/(n) thing/object/(P)/	mono
狭い	せまい	/(adj) narrow/confined/small/(P)/	semai
玄関	げんかん	/(n) entranceway/entry hall/(P)/	genkan
甘い	あまい	/(gadj) generous/easy-going/sweet／	amai
生まれる	うまれる	/(v1) to be born/(P)/	umareru
生徒	せいと	/(n) pupil/(P)/	seito
男	おとこ	/(n) man/(P)/	otoko
男の子	おとこのこ	/(n) boy/(P)/	otokonoko
町	まち	/(n) (1) town/(2) street/road/(P)/	machi
留学生	りゅうがくせい	/(n) overseas student/(P)/	ryuugakusei
番号	ばんごう	/(n) number/series of digits/(P)/	bangou
疲れる	つかれる	/(v1) to get tired/to tire/(P)/	tsukareru
病気	びょうき	/(n) illness/disease/sickness/(P)/	byouki
病院	びょういん	/(n) hospital/(P)/	byouin
痛い	いたい	/(adj) painful/(P)/	itai
登る	のぼる	/(v5r) to climb/(P)/	noboru
白い	しろい	/(adj) white/(P)/	shiroi
百	ひゃく	/(num) 100/hundred/(P)/	hyaku
皆さん	みなさん	/(n) everyone/(P)/	minasan
目	め	/(n) eye/eyeball/(P)/	me
眼鏡	めがね	/(n) spectacles/glasses/(P)/	megane
着く	つく	/(v5k) to arrive at/to reach/(P)/	tsuku
着る	きる	/(v1) to wear/to put on (from shoulders down)/(P)/	kiru
知る	しる	/(v5r) to know/to understand/to be acquainted with/to feel/(P)/	shiru
短い	みじかい	/(adj) short/(P)/	mijikai
砂糖	さとう	/(n) sugar/(P)/	satou
磨く	みがく	/(v5k) to polish/to shine/to brush/to refine/to improve/(P)/	migaku
私	わたし/わたくし	/(adj-no,n) I/myself/private affairs/(P)/	watashi/watakushi
秋	あき	/(n-adv) autumn/fall/(P)/	aki
空	そら	/(n) sky/(P)/	sora
窓	まど	/(n) window/(P)/	mado
立つ	たつ	/(v5t) to stand/(P)/	tatsu
答える	こたえる	/(v1) to answer/to reply/	kotaeru
箱	はこ	/(n) box/(P)/	hako
紙	かみ	/(n) paper/(P)/	kami
細い	ほそい	/(adj) thin/slender/fine/(P)/	hosoi
終る	おわる	/(io) (v5r) to finish/to close/	owaru
結婚	けっこん	/(adj-no,n,vs) marriage/(P)/	kekkon
結構	けっこう	/(adj-na,n-adv,n) (1) (uk) splendid/nice/wonderful/delicious/sweet/(2) (arch) construction/architecture/(3) well enough/tolerably/(P)/	kekkou
絵	え	/(n,n-suf) picture/drawing/painting/sketch/	e
締める	しめる	/(v1) to tie/to fasten/(P)/	shimeru
練習	れんしゅう	/(n,vs) practice/(P)/	renshuu
置く	おく	/(v5k) to put/to place/(P)/	oku
習う	ならう	/(v5u) to learn/(P)/	narau
耳	みみ	/(n) ear/(P)/	mimi
聞く	きく	/(v5k) to hear/to listen/to ask/(P)/	kiku
肉	にく	/(n) meat/(P)/	niku
背	せい	/(n) height/stature/(P)/	sei
背広	せびろ	/(n) business suit/(P)/	sebiro
脱ぐ	ぬぐ	/(v5g) to take off clothes/(P)/	nugu
自分	じぶん	/(n) myself/oneself/(P)/	jibun
自動車	じどうしゃ	/(n) automobile/(P)/	jidousha
自転車	じてんしゃ	/(n) bicycle/(P)/	jitensha
色	いろ	/(n) (1) colour/(2) sensuality/lust/(P)/	iro
花	はな	/(n) flower/(P)/	hana
花瓶	かびん	/(n) (flower) vase/(P)/	kabin
若い	わかい	/(adj) young/(P)/	wakai
英語	えいご	/(n) the English language/(P)/	eigo
茶色	ちゃいろ	/(n) light brown/tawny/(P)/	chairo
荷物	にもつ	/(n) luggage/(P)/	nimotsu
葉書	はがき	/(n) postcard/(P)/	hagaki
薄い	うすい	/(adj) thin/weak/watery/diluted/(P)/	usui
薬	くすり	/(n) medicine/(P)/	kusuri
行く	いく	/(v5k-s) to go/(P)/	iku
行く	ゆく	/(v5k-s) to go/(P)/	yuku
西	にし	/(n) west/(P)/	nishi
要る	いる	/(v5r) to need/(P)/	iru
見せる	みせる	/(v1) to show/to display/(P)/	miseru
見る	みる	/(v1) to see/to watch/(P)/	miru
覚える	おぼえる	/(v1) to remember/to memorize/(P)/	oboeru
角	かど	/(n) corner (e.g. desk, pavement)/	kado
言う	いう	/(v5u) to say/(P)/	iu
言葉	ことば	/(n) word(s)/language/speech/(P)/	kotoba
話	はなし	/(io) (n) talk/speech/chat/story/conversation/(P)/	hanashi
話す	はなす	/(v5s) to speak/(P)/	hanasu
誕生日	たんじょうび	/(n) birthday/(P)/	tanjiyoubi
読む	よむ	/(v5m) to read/(P)/	yomu
豚肉	ぶたにく	/(n) pork/(P)/	butaniku
買い物	かいもの	/(n) shopping/(P)/	kaimono
買う	かう	/(v5u) to buy/(P)/	kau
貸す	かす	/(v5s) to lend/(P)/	kasu
質問	しつもん	/(n,vs) question/inquiry/(P)/	shitsumon
赤い	あかい	/(adj) red/(P)/	akai
走る	はしる	/(v5r) to run/(P)/	hashiru
起きる	おきる	/(v1) to get up/to rise/(P)/	okiru
足	あし	/(n) foot/pace/gait/leg/(P)/	ashi
車	くるま	/(n) car/vehicle/wheel/(P)/	kuruma
軽い	かるい	/(adj) light/non-serious/minor/(P)/	karui
辛い	からい	/hot (spicy)/salty/	karai
辞書	じしょ	/(n) dictionary/lexicon/(P)/	jisho
辺	へん	/(n) area/vicinity/(P)/	hen
近い	ちかい	/(adj,suf) near/close by/short/(P)/	chikai
近く	ちかく	/(n-adv,n) near/neighbourhood/vicinity/(P)/	chikaku
返す	かえす	/(v5s,vt) to return something/(P)/	kaesu
速い	はやい	/(adj) quick/fast/swift/(P)/	hayai
遅い	おそい	/(adj) late/slow/(P)/	osoi
遊ぶ	あそぶ	/(v5b) (1) to play/to make a visit (esp. for pleasure)/(2) to be idle/to do nothing/(P)/	asobu
道	みち	/(n) road/street/way/method/(P)/	michi
違う	ちがう	/(v5u) to differ (from)/(P)/	chigau
遠い	とおい	/(adj) far/distant/(P)/	tooi
部屋	へや	/(n) room/(P)/	heya
郵便局	ゆうびんきょく	/(n) post office/(P)/	yuubinkyoku
重い	おもい	/(adj) (1) heavy/massive/(2) serious/important/severe/oppressed/(P)/	omoi
野菜	やさい	/(n) vegetable/(P)/	yasai
金曜日	きんようび	/(n-adv,n) Friday/(P)/	kinyoubi
鉛筆	えんぴつ	/(n) pencil/(P)/	enpitsu
銀行	ぎんこう	/(n) bank/(P)/	ginkou
長い	ながい	/(adj) long/(P)/	nagai
門	もん	/(n,n-suf) gate/(P)/	mon
閉まる	しまる	/(v5r,vi) to close/to be closed/(P)/	shimaru
閉める	しめる	/(v1,vt) to close/to shut/(P)/	shimeru
開く	あく	/(v5k) to open (e.g. a festival)/(P)/	aku
開ける	あける	/(v1) to become civilized/to become opened up/be up-to-date/(P)/	akeru
降りる	おりる	/(v1) to alight (e.g. from bus)/to get off/to descend (e.g. a mountain)/(P)/	oriru
降る	ふる	/(v5r) to precipitate/to fall (e.g. rain)/(P)/	furu
階段	かいだん	/(n) stairs/(P)/	kaidan
